case_id,variant_or_group,locus,assigned_class,evidence_bundle,confidence,rationale
HBB_Q2b,25 Q2b variants (VEP 0-0.5 + LSSIM<0.95),HBB,B_architecture,LSSIM<0.95|enhancer_dist=434bp|VEP_low|MPRA_null|tissue_match=1.0|p=2.51e-31,HIGH,"VEP explicitly scored low-impact; ARCHCODE detects structural disruption; enhancer proximity 58× closer than Q3; MPRA blind (plasmid-based); tissue-matched K562 erythroid"
HBB_Q1,270 Q1 concordant pathogenic,HBB,C_mixed,LSSIM<0.95|VEP>0.5|tissue_match=1.0,MEDIUM,"Both VEP and ARCHCODE agree on pathogenicity; likely both activity and architecture disrupted; but could be coincidental co-occurrence"
HBB_Q3,75 Q3 sequence-channel,HBB,A_activity,VEP>0.5|LSSIM>0.95|enhancer_dist=25138bp,MEDIUM,"VEP detects functional impact but ARCHCODE shows no structural disruption; variants far from enhancers; likely coding/splice effects independent of 3D architecture"
TERT_Q2a,34 Q2a variants,TERT,D_coverage_gap,VEP=-1|LSSIM<0.95|tissue_match=0.5,HIGH,"VEP cannot score (non-coding frameshifts); ARCHCODE provides structural read; 97% classified as Q2a; coverage gap is dominant mechanism"
TERT_Q2b,1 Q2b variant,TERT,B_architecture,VEP_low|LSSIM<0.95|tissue_match=0.5,LOW,"Single Q2b variant; partial tissue match (K562 expresses TERT but not primary tissue); needs TERT-expressing cell validation"
BRCA1_Q2b,26 Q2b variants,BRCA1,B_architecture_tentative,VEP_low|LSSIM=0.942-0.947|tissue_match=0.5|Q2b_precision=0.038,LOW,"LSSIM values are threshold-proximal (0.942-0.947); 24/26 are common polymorphisms (AF 40-50%); precision only 3.8%; likely threshold artifacts rather than true architecture-driven"
BRCA1_Q2a,53 Q2a variants,BRCA1,D_coverage_gap,VEP=-1|noncoding_frameshift=52,HIGH,"Dominant gap type is noncoding frameshift (52/53); VEP has no model for these variant types"
TP53_Q2b,2 Q2b variants,TP53,B_architecture_tentative,VEP_low|LSSIM~0.945|tissue_match=0.5,LOW,"Only 2 variants; threshold-proximal LSSIM; partial tissue match; insufficient evidence for confident classification"
MLH1_Q2a,72 Q2a variants,MLH1,D_coverage_gap,VEP=-1|noncoding_frameshift=72|tissue_match=0.5,HIGH,"All Q2 are Q2a (zero Q2b); pure coverage gap; 100% noncoding frameshifts"
CFTR_Q2a,36 Q2a variants,CFTR,D_coverage_gap,VEP=-1|noncoding_frameshift=35|tissue_match=0.0,HIGH,"All Q2 are Q2a (zero Q2b); coverage gap + tissue mismatch (K562 ≠ lung epithelium)"
SCN5A_null,0 Q2 variants,SCN5A,E_tissue_mismatch,N_Q2=0|tissue_match=0.0|cardiac_tissue,HIGH,"Zero structural signal; K562 has no cardiac enhancer landscape; entire locus is tissue-mismatch artifact in current ARCHCODE config"
GJB2_null,0 Q2 variants,GJB2,E_tissue_mismatch,N_Q2=0|tissue_match=0.0|cochlear_tissue,HIGH,"Zero structural signal; K562 has no cochlear enhancer landscape; entire locus is tissue-mismatch artifact"
LDLR_null,0 Q2b variants,LDLR,E_tissue_mismatch_partial,N_Q2b=0|N_Q2a=10|tissue_match=0.0|hepatic_tissue,MEDIUM,"No Q2b but 10 Q2a (coverage gap); K562 ≠ hepatocytes; mixed coverage gap + tissue mismatch"
MPRA_null_HBB,MPRA crossvalidation null for HBB pearls,HBB,B_architecture_confirmed,MPRA_null_for_Q2b|Kircher_2019|plasmid_assay,HIGH,"MPRA by design cannot detect architecture-driven effects (plasmid removes 3D context); null result confirms Q2b variants operate via contact disruption not element activity"
CRISPRi_null_HBB,Gasperini CRISPRi 0 overlap with Q2b,HBB,B_architecture_confirmed,CRISPRi_K562_0_overlap|tissue_mismatch_K562_fetal_globin,HIGH,"K562 expresses fetal (gamma) not adult (beta) globin; CRISPRi screen cannot test HBB promoter variants; confirms gap in experimental coverage for architecture-driven class"
ABC_partial_HBB,ABC/rE2G 68% Q2b overlap,HBB,B_architecture_partial,ABC_overlap=68%|Fisher_p=0.36_NS|rE2G_score=1.0,MEDIUM,"Q2b variants sit in ABC-predicted enhancer regions but enrichment vs Q3 is not significant; ABC captures enhancer-gene links but not variant-level contact disruption"
PCHiC_HBB,PCHi-C erythroblast confirms HBB-LCR loop,HBB,B_architecture_supportive,25_significant_interactions|max_CHiCAGO=10.5|tissue_specific,MEDIUM,"PCHi-C confirms the HBB-LCR loop exists in erythroblasts; does not directly validate Q2b disruption but establishes the contact architecture that Q2b variants are predicted to break"
EXP003_mismatch,Tissue mismatch controls,multi,E_tissue_mismatch_diagnostic,HBB_HBB_delta=0.00357|HBB_LDLR_delta=5e-6|HBB_TP53_delta=-0.0117,HIGH,"EXP-003 diagonal pattern: matched tissue shows positive delta, off-diagonal near zero or inverted; definitively demonstrates tissue-mismatch artifact class"
EXP001_ablation,Ablation study M1-M4,multi,B_architecture_ablation,M4_AUC=0.6381|M1_AUC=0.5266|TERT_M4=0.8405,MEDIUM,"ARCHCODE (M4) outperforms nearest-gene and epigenome-only models; architecture component adds discriminative power beyond positional/epigenomic features"
ARS_HBB,Fragility atlas HBB,HBB,B_architecture_extended,no_severe_fragility_zones|all_SSIM>0.9989,MEDIUM,"HBB locus has high baseline structural integrity; architecture-driven pathogenicity arises from variant-specific disruption, not baseline fragility"
ARS_BRCA1,Fragility atlas BRCA1,BRCA1,B_architecture_extended,6_severe_fragility_zones|top_SSIM=0.9236,MEDIUM,"BRCA1 has pre-existing fragility zones; architecture-driven effects may be amplified at fragile positions; potential interaction between baseline fragility and variant-specific disruption"
